  0.00000000E+00 -0.58913802E+01
  0.28922784E-01 -0.58898392E+01
  0.57845569E-01 -0.58852024E+01
  0.86768353E-01 -0.58774277E+01
  0.11569114E+00 -0.58664455E+01
  0.14461392E+00 -0.58521596E+01
  0.17353671E+00 -0.58344481E+01
  0.20245949E+00 -0.58131643E+01
  0.23138228E+00 -0.57881392E+01
  0.26030506E+00 -0.57591823E+01
  0.28922784E+00 -0.57260843E+01
  0.31815063E+00 -0.56886192E+01
  0.34707341E+00 -0.56465468E+01
  0.37599620E+00 -0.55996151E+01
  0.40491898E+00 -0.55475635E+01
  0.43384177E+00 -0.54901252E+01
  0.46276455E+00 -0.54270307E+01
  0.49168734E+00 -0.53580103E+01
  0.52061012E+00 -0.52827978E+01
  0.54953290E+00 -0.52011331E+01
  0.57845569E+00 -0.51127655E+01
  0.60737847E+00 -0.50174569E+01
  0.63630126E+00 -0.49149844E+01
  0.66522404E+00 -0.48051436E+01
  0.69414683E+00 -0.46877511E+01
  0.72306961E+00 -0.45626473E+01
  0.75199240E+00 -0.44296987E+01
  0.78091518E+00 -0.42888003E+01
  0.80983796E+00 -0.41398777E+01
  0.83876075E+00 -0.39828892E+01
  0.86768353E+00 -0.38178268E+01
  0.89660632E+00 -0.36447185E+01
  0.92552910E+00 -0.34636288E+01
  0.95445189E+00 -0.32746599E+01
  0.98337467E+00 -0.30779525E+01
  0.10122975E+01 -0.28736860E+01
  0.10412202E+01 -0.26620787E+01
  0.10701430E+01 -0.24433877E+01
  0.10990658E+01 -0.22179088E+01
  0.11279886E+01 -0.19859756E+01
  0.11569114E+01 -0.17479587E+01
  0.11861278E+01 -0.17503832E+01
  0.12153442E+01 -0.17577073E+01
  0.12445607E+01 -0.17700807E+01
  0.12737771E+01 -0.17877468E+01
  0.13029935E+01 -0.18110322E+01
  0.13322099E+01 -0.18403324E+01
  0.13614263E+01 -0.18760926E+01
  0.13906428E+01 -0.19187834E+01
  0.14198592E+01 -0.19688727E+01
  0.14490756E+01 -0.20267928E+01
  0.14782920E+01 -0.20929074E+01
  0.15075085E+01 -0.21674781E+01
  0.15367249E+01 -0.22506343E+01
  0.15659413E+01 -0.23423497E+01
  0.15659413E+01 -0.23423497E+01
  0.15951577E+01 -0.24424275E+01
  0.16243742E+01 -0.25504952E+01
  0.16535906E+01 -0.26660106E+01
  0.16828070E+01 -0.27882767E+01
  0.17120234E+01 -0.29164649E+01
  0.17412399E+01 -0.30496431E+01
  0.17704563E+01 -0.31868059E+01
