    0.0000   -0.1745
    0.0194   -0.1683
    0.0389   -0.1496
    0.0583   -0.1187
    0.0778   -0.0760
    0.0972   -0.0219
    0.1166    0.0183
    0.1361    0.0612
    0.1555    0.1093
    0.1750    0.1621
    0.1944    0.2190
    0.2138    0.2794
    0.2333    0.3426
    0.2527    0.4079
    0.2722    0.4576
    0.2916    0.3941
    0.3111    0.3304
    0.3305    0.2674
    0.3499    0.2057
    0.3694    0.1460
    0.3888    0.0890
    0.4083    0.0354
    0.4277   -0.0144
    0.4471   -0.0597
    0.4666   -0.1000
    0.4860   -0.1349
    0.5055   -0.1640
    0.5249   -0.1870
    0.5443   -0.2036
    0.5638   -0.2136
    0.5832   -0.2170
    0.6084   -0.2119
    0.6336   -0.1966
    0.6587   -0.1716
    0.6839   -0.1375
    0.7091   -0.0950
    0.7343   -0.0452
    0.7595    0.0106
    0.7846    0.0711
    0.8098    0.1346
    0.8350    0.1993
    0.8602    0.2635
    0.8853    0.3251
    0.9105    0.3818
    0.9357    0.4317
    0.9609    0.4725
    0.9860    0.5024
    1.0112    0.5049
    1.0364    0.4256
    1.0616    0.3419
    1.0867    0.2586
    1.1119    0.1774
    1.1371    0.0999
    1.1623    0.0277
    1.1874   -0.0379
    1.2126   -0.0958
    1.2378   -0.1447
    1.2630   -0.1837
    1.2881   -0.2121
    1.3133   -0.2294
    1.3385   -0.2352
    1.3610   -0.2317
    1.3836   -0.2212
    1.4061   -0.2040
    1.4286   -0.1807
    1.4512   -0.1522
    1.4737   -0.1194
    1.4962   -0.0834
    1.5188   -0.0455
    1.5413   -0.0073
    1.5638    0.0301
    1.5864    0.0653
    1.6089    0.0973
    1.6314    0.1250
    1.6540    0.1477
    1.6765    0.1646
    1.6990    0.1750
    1.7216    0.1779
    1.7441    0.1726
    1.7666    0.1586
    1.7892    0.1362
    1.8117    0.1067
    1.8343    0.0724
    1.8568    0.0358
    1.8793   -0.0005
    1.9019   -0.0343
    1.9244   -0.0641
    1.9469   -0.0885
    1.9695   -0.1065
    1.9920   -0.1176
    2.0145   -0.1213
    2.0397   -0.1183
    2.0649   -0.1095
    2.0901   -0.0952
    2.1152   -0.0763
    2.1404   -0.0538
    2.1656   -0.0289
    2.1908   -0.0032
    2.2159    0.0220
    2.2411    0.0449
    2.2663    0.0643
    2.2915    0.0791
    2.3166    0.0885
    2.3418    0.0923
    2.3670    0.0908
    2.3922    0.0842
    2.4173    0.0732
    2.4425    0.0586
    2.4677    0.0412
    2.4929    0.0217
    2.5180    0.0007
    2.5432   -0.0209
    2.5684   -0.0428
    2.5936   -0.0643
    2.6187   -0.0851
    2.6439   -0.1051
    2.6691   -0.1245
    2.6943   -0.1431
    2.7194   -0.1593
    2.7446   -0.1705
    2.7698   -0.1745

    0.0000   -0.1060
    0.0194   -0.1024
    0.0389   -0.0917
    0.0583   -0.0741
    0.0778   -0.0497
    0.0972   -0.0188
    0.1166    0.0431
    0.1361    0.1181
    0.1555    0.2023
    0.1750    0.2949
    0.1944    0.3947
    0.2138    0.5008
    0.2333    0.5816
    0.2527    0.5204
    0.2722    0.4745
    0.2916    0.5415
    0.3111    0.6084
    0.3305    0.6741
    0.3499    0.7380
    0.3694    0.7991
    0.3888    0.8565
    0.4083    0.9092
    0.4277    0.9554
    0.4471    0.9910
    0.4666    0.9828
    0.4860    0.9610
    0.5055    0.9116
    0.5249    0.8662
    0.5443    0.8321
    0.5638    0.8110
    0.5832    0.8040
    0.6084    0.8104
    0.6336    0.8296
    0.6587    0.8611
    0.6839    0.9035
    0.7091    0.9465
    0.7343    0.9666
    0.7595    0.9784
    0.7846    0.9804
    0.8098    0.9684
    0.8350    0.9425
    0.8602    0.9048
    0.8853    0.8573
    0.9105    0.8011
    0.9357    0.7371
    0.9609    0.6665
    0.9860    0.5907
    1.0112    0.5264
    1.0364    0.5294
    1.0616    0.5253
    1.0867    0.5125
    1.1119    0.4934
    1.1371    0.4701
    1.1623    0.4448
    1.1874    0.4193
    1.2126    0.3952
    1.2378    0.3737
    1.2630    0.3559
    1.2881    0.3424
    1.3133    0.3340
    1.3385    0.3311
    1.3610    0.3342
    1.3836    0.3431
    1.4061    0.3575
    1.4286    0.3765
    1.4512    0.3989
    1.4737    0.4238
    1.4962    0.4510
    1.5188    0.4805
    1.5413    0.5118
    1.5638    0.5440
    1.5864    0.5756
    1.6089    0.6041
    1.6314    0.6267
    1.6540    0.6402
    1.6765    0.6422
    1.6990    0.6325
    1.7216    0.6133
    1.7441    0.5887
    1.7666    0.5628
    1.7892    0.5390
    1.8117    0.5190
    1.8343    0.5029
    1.8568    0.4902
    1.8793    0.4803
    1.9019    0.4723
    1.9244    0.4660
    1.9469    0.4611
    1.9695    0.4576
    1.9920    0.4555
    2.0145    0.4548
    2.0397    0.4563
    2.0649    0.4608
    2.0901    0.4680
    2.1152    0.4775
    2.1404    0.4890
    2.1656    0.5019
    2.1908    0.5159
    2.2159    0.5304
    2.2411    0.5452
    2.2663    0.5597
    2.2915    0.5732
    2.3166    0.5844
    2.3418    0.5916
    2.3670    0.5921
    2.3922    0.5825
    2.4173    0.5594
    2.4425    0.5206
    2.4677    0.4672
    2.4929    0.4028
    2.5180    0.3321
    2.5432    0.2592
    2.5684    0.1875
    2.5936    0.1196
    2.6187    0.0579
    2.6439    0.0045
    2.6691   -0.0388
    2.6943   -0.0706
    2.7194   -0.0912
    2.7446   -0.1024
    2.7698   -0.1060

    0.0000    0.6890
    0.0194    0.6914
    0.0389    0.6987
    0.0583    0.7107
    0.0778    0.7271
    0.0972    0.7477
    0.1166    0.7719
    0.1361    0.7992
    0.1555    0.7984
    0.1750    0.7497
    0.1944    0.6970
    0.2138    0.6408
    0.2333    0.6119
    0.2527    0.7266
    0.2722    0.8439
    0.2916    0.9624
    0.3111    1.0612
    0.3305    1.0761
    0.3499    1.0858
    0.3694    1.0901
    0.3888    1.0821
    0.4083    1.0575
    0.4277    1.0320
    0.4471    1.0068
    0.4666    0.9828
    0.4860    0.9610
    0.5055    0.9421
    0.5249    0.9268
    0.5443    0.9155
    0.5638    0.9086
    0.5832    0.9063
    0.6084    0.9086
    0.6336    0.9152
    0.6587    0.9259
    0.6839    0.9405
    0.7091    0.9668
    0.7343    1.0227
    0.7595    1.0582
    0.7846    1.0790
    0.8098    1.0970
    0.8350    1.1115
    0.8602    1.1199
    0.8853    1.1221
    0.9105    1.1187
    0.9357    1.1095
    0.9609    1.0934
    0.9860    1.0668
    1.0112    1.0245
    1.0364    0.9661
    1.0616    0.8974
    1.0867    0.8241
    1.1119    0.7505
    1.1371    0.6792
    1.1623    0.6122
    1.1874    0.5510
    1.2126    0.4971
    1.2378    0.4514
    1.2630    0.4150
    1.2881    0.3885
    1.3133    0.3726
    1.3385    0.3672
    1.3610    0.3695
    1.3836    0.3765
    1.4061    0.3884
    1.4286    0.4057
    1.4512    0.4292
    1.4737    0.4590
    1.4962    0.4945
    1.5188    0.5344
    1.5413    0.5777
    1.5638    0.6230
    1.5864    0.6693
    1.6089    0.7151
    1.6314    0.7594
    1.6540    0.8009
    1.6765    0.8384
    1.6990    0.8710
    1.7216    0.8978
    1.7441    0.9182
    1.7666    0.9315
    1.7892    0.9369
    1.8117    0.9325
    1.8343    0.9168
    1.8568    0.8943
    1.8793    0.8705
    1.9019    0.8480
    1.9244    0.8283
    1.9469    0.8122
    1.9695    0.8003
    1.9920    0.7930
    2.0145    0.7906
    2.0397    0.7911
    2.0649    0.7924
    2.0901    0.7945
    2.1152    0.7970
    2.1404    0.7999
    2.1656    0.8029
    2.1908    0.8058
    2.2159    0.8085
    2.2411    0.8107
    2.2663    0.8123
    2.2915    0.8132
    2.3166    0.8132
    2.3418    0.8122
    2.3670    0.8100
    2.3922    0.8064
    2.4173    0.8011
    2.4425    0.7939
    2.4677    0.7852
    2.4929    0.7755
    2.5180    0.7651
    2.5432    0.7545
    2.5684    0.7437
    2.5936    0.7331
    2.6187    0.7229
    2.6439    0.7135
    2.6691    0.7053
    2.6943    0.6984
    2.7194    0.6933
    2.7446    0.6901
    2.7698    0.6890

    0.0000    0.6890
    0.0194    0.6914
    0.0389    0.6987
    0.0583    0.7107
    0.0778    0.7271
    0.0972    0.7477
    0.1166    0.7719
    0.1361    0.7992
    0.1555    0.8291
    0.1750    0.8608
    0.1944    0.8936
    0.2138    0.9265
    0.2333    0.9587
    0.2527    0.9891
    0.2722    1.0170
    0.2916    1.0413
    0.3111    1.0612
    0.3305    1.0761
    0.3499    1.0858
    0.3694    1.0901
    0.3888    1.0821
    0.4083    1.0575
    0.4277    1.0320
    0.4471    1.0068
    0.4666    0.9997
    0.4860    0.9629
    0.5055    0.9421
    0.5249    0.9268
    0.5443    0.9155
    0.5638    0.9086
    0.5832    0.9063
    0.6084    0.9106
    0.6336    0.9233
    0.6587    0.9439
    0.6839    0.9713
    0.7091    1.0032
    0.7343    1.0358
    0.7595    1.0867
    0.7846    1.1174
    0.8098    1.1303
    0.8350    1.1453
    0.8602    1.1640
    0.8853    1.1836
    0.9105    1.2010
    0.9357    1.2132
    0.9609    1.2164
    0.9860    1.2069
    1.0112    1.1890
    1.0364    1.1728
    1.0616    1.1605
    1.0867    1.1490
    1.1119    1.1350
    1.1371    1.1168
    1.1623    1.0942
    1.1874    1.0686
    1.2126    1.0422
    1.2378    1.0172
    1.2630    0.9956
    1.2881    0.9790
    1.3133    0.9686
    1.3385    0.9650
    1.3610    0.9671
    1.3836    0.9734
    1.4061    0.9837
    1.4286    0.9977
    1.4512    1.0152
    1.4737    1.0359
    1.4962    1.0594
    1.5188    1.0853
    1.5413    1.1132
    1.5638    1.1423
    1.5864    1.1705
    1.6089    1.1920
    1.6314    1.1980
    1.6540    1.1899
    1.6765    1.1633
    1.6990    1.1323
    1.7216    1.1012
    1.7441    1.0703
    1.7666    1.0400
    1.7892    1.0119
    1.8117    0.9891
    1.8343    0.9742
    1.8568    0.9644
    1.8793    0.9559
    1.9019    0.9476
    1.9244    0.9395
    1.9469    0.9320
    1.9695    0.9259
    1.9920    0.9219
    2.0145    0.9205
    2.0397    0.9223
    2.0649    0.9275
    2.0901    0.9354
    2.1152    0.9453
    2.1404    0.9565
    2.1656    0.9683
    2.1908    0.9803
    2.2159    0.9920
    2.2411    1.0030
    2.2663    1.0129
    2.2915    1.0213
    2.3166    1.0278
    2.3418    1.0310
    2.3670    1.0204
    2.3922    0.9838
    2.4173    0.9435
    2.4425    0.9092
    2.4677    0.8824
    2.4929    0.8610
    2.5180    0.8420
    2.5432    0.8232
    2.5684    0.8036
    2.5936    0.7832
    2.6187    0.7627
    2.6439    0.7429
    2.6691    0.7249
    2.6943    0.7098
    2.7194    0.6985
    2.7446    0.6914
    2.7698    0.6890

    0.0000    0.9029
    0.0194    0.9053
    0.0389    0.9122
    0.0583    0.9235
    0.0778    0.9388
    0.0972    0.9152
    0.1166    0.8816
    0.1361    0.8425
