    0.0000   -3.0837
    0.0408   -3.1287
    0.0816   -3.2516
    0.1225   -3.4246
    0.1633   -3.6204
    0.2041   -3.8193
    0.2449   -4.0092
    0.2858   -4.1835
    0.3266   -4.3389
    0.3674   -4.4738
    0.4082   -4.5879
    0.4491   -4.6808
    0.4899   -4.7529
    0.5307   -4.8043
    0.5715   -4.8350
    0.6124   -4.8453
    0.6595   -4.8316
    0.7067   -4.7906
    0.7538   -4.7221
    0.8009   -4.6259
    0.8481   -4.5017
    0.8952   -4.3490
    0.9424   -4.1676
    0.9895   -3.9577
    1.0366   -3.7199
    1.0838   -3.4571
    1.1309   -3.1754
    1.1781   -2.8883
    1.2252   -2.6216
    1.2723   -2.4208
    1.3195   -2.3438
    1.3567   -2.3489
    1.3940   -2.3631
    1.4313   -2.3840
    1.4686   -2.4080
    1.5058   -2.4319
    1.5431   -2.4529
    1.5804   -2.4693
    1.6176   -2.4802
    1.6549   -2.4854
    1.6922   -2.4852
    1.7294   -2.4799
    1.7667   -2.4702
    1.8040   -2.4567
    1.8412   -2.4401
    1.8785   -2.4212
    1.9285   -2.4997
    1.9785   -2.6259
    2.0285   -2.8068
    2.0785   -3.0370
    2.1285   -3.2991
    2.1785   -3.5710
    2.2285   -3.8332
    2.2785   -4.0722
    2.3285   -4.2807
    2.3785   -4.4559
    2.4285   -4.5975
    2.4785   -4.7065
    2.5285   -4.7838
    2.5785   -4.8299
    2.6285   -4.8453

    0.0000    1.2342
    0.0408    1.3335
    0.0816    1.6166
    0.1225    2.0489
    0.1633    2.5917
    0.2041    3.2100
    0.2449    3.8736
    0.2858    4.5552
    0.3266    5.2291
    0.3674    5.8713
    0.4082    6.4591
    0.4491    6.9716
    0.4899    7.3906
    0.5307    7.7013
    0.5715    7.8923
    0.6124    7.9567
    0.6595    7.8955
    0.7067    7.7140
    0.7538    7.4179
    0.8009    7.0165
    0.8481    6.5224
    0.8952    5.9512
    0.9424    5.3204
    0.9895    4.6496
    1.0366    3.9599
    1.0838    3.2738
    1.1309    2.6164
    1.1781    2.0178
    1.2252    1.5180
    1.2723    1.1729
    1.3195    1.0471
    1.3567    1.0631
    1.3940    1.1087
    1.4313    1.1770
    1.4686    1.2580
    1.5058    1.3407
    1.5431    1.4148
    1.5804    1.4724
    1.6176    1.5091
    1.6549    1.5241
    1.6922    1.5196
    1.7294    1.4996
    1.7667    1.4691
    1.8040    1.4330
    1.8412    1.3956
    1.8785    1.3607
    1.9285    1.4670
    1.9785    1.6110
    2.0285    1.8312
    2.0785    2.1599
    2.1285    2.6097
    2.1785    3.1725
    2.2285    3.8256
    2.2785    4.5369
    2.3285    5.2687
    2.3785    5.9805
    2.4285    6.6316
    2.4785    7.1838
    2.5285    7.6042
    2.5785    7.8672
    2.6285    7.9567

    0.0000    6.8050
    0.0408    6.8176
    0.0816    6.8548
    0.1225    6.9150
    0.1633    6.9955
    0.2041    7.0929
