  0.00000000E+00 -0.67693264E+01
  0.28922784E-01 -0.67666923E+01
  0.57845569E-01 -0.67587932E+01
  0.86768353E-01 -0.67456391E+01
  0.11569114E+00 -0.67272464E+01
  0.14461392E+00 -0.67036375E+01
  0.17353671E+00 -0.66748399E+01
  0.20245949E+00 -0.66408851E+01
  0.23138228E+00 -0.66018080E+01
  0.26030506E+00 -0.65576453E+01
  0.28922784E+00 -0.65084343E+01
  0.31815063E+00 -0.64542111E+01
  0.34707341E+00 -0.63950096E+01
  0.37599620E+00 -0.63308594E+01
  0.40491898E+00 -0.62617843E+01
  0.43384177E+00 -0.61878011E+01
  0.46276455E+00 -0.61089180E+01
  0.49168734E+00 -0.60251333E+01
  0.52061012E+00 -0.59364348E+01
  0.54953290E+00 -0.58427985E+01
  0.57845569E+00 -0.57441892E+01
  0.60737847E+00 -0.56405595E+01
  0.63630126E+00 -0.55318512E+01
  0.66522404E+00 -0.54179956E+01
  0.69414683E+00 -0.52989151E+01
  0.72306961E+00 -0.51745251E+01
  0.75199240E+00 -0.50447359E+01
  0.78091518E+00 -0.49094557E+01
  0.80983796E+00 -0.47685934E+01
  0.83876075E+00 -0.46220620E+01
  0.86768353E+00 -0.44697819E+01
  0.89660632E+00 -0.43116850E+01
  0.92552910E+00 -0.41477179E+01
  0.95445189E+00 -0.39778458E+01
  0.98337467E+00 -0.38020564E+01
  0.10122975E+01 -0.36203625E+01
  0.10412202E+01 -0.34328056E+01
  0.10701430E+01 -0.32394583E+01
  0.10990658E+01 -0.30404263E+01
  0.11279886E+01 -0.28358499E+01
  0.11569114E+01 -0.26259050E+01
  0.11861278E+01 -0.26260905E+01
  0.12153442E+01 -0.26266919E+01
  0.12445607E+01 -0.26278507E+01
  0.12737771E+01 -0.26298192E+01
  0.13029935E+01 -0.26329859E+01
  0.13322099E+01 -0.26379120E+01
  0.13614263E+01 -0.26453793E+01
  0.13906428E+01 -0.26564447E+01
  0.14198592E+01 -0.26724961E+01
  0.14490756E+01 -0.26952877E+01
  0.14782920E+01 -0.27269230E+01
  0.15075085E+01 -0.27697348E+01
  0.15367249E+01 -0.28260153E+01
  0.15659413E+01 -0.28975965E+01
  0.15659413E+01 -0.28975926E+01
  0.15951577E+01 -0.29853800E+01
  0.16243742E+01 -0.30890361E+01
  0.16535906E+01 -0.32069891E+01
  0.16828070E+01 -0.33367718E+01
  0.17120234E+01 -0.34755156E+01
  0.17412399E+01 -0.36203926E+01
  0.17704563E+01 -0.37688970E+01
  0.17996727E+01 -0.39189627E+01
  0.18288891E+01 -0.40689692E+01
  0.18581056E+01 -0.42176895E+01
  0.18873220E+01 -0.43642188E+01
  0.19165384E+01 -0.45079027E+01
  0.19457548E+01 -0.46482756E+01
  0.19749713E+01 -0.47850098E+01
  0.20041877E+01 -0.49178765E+01
  0.20334041E+01 -0.50467152E+01
  0.20626205E+01 -0.51714119E+01
